iteration,imbalance
0,0.4886
1,0.49039244286531786
2,0.5004256078508079
3,0.4920599645813076
4,0.497492138339227
5,0.4779441185955912
6,0.4946007266222232
7,0.5131818166942623
8,0.515694263685101
9,0.5255189807065193
10,0.5002559862885391
11,0.4994958483112976
12,0.49244686568867685
13,0.48005130246670086
14,0.47369853854766625
15,0.4888640324562331
16,0.49811521143210624
17,0.5107919323531389
18,0.5063630631613057
19,0.5017200488368642
20,0.48313374058279446
21,0.49813707280041114
22,0.5066039076656237
23,0.5026156239425534
24,0.5245830933348299
25,0.5237881387204868
26,0.5228350247299663
27,0.5204498184959065
28,0.5159523940177771
29,0.528763979572484
30,0.530708848575523
31,0.5270150011978578
32,0.5146235946906196
33,0.5049695771521777
34,0.5028116242400157
35,0.49554730196051894
36,0.4905928709580095
37,0.48882228152951596
38,0.5034174112669489
39,0.4904681982458523
40,0.5226646448456587
41,0.5253023388483699
42,0.5052024152900816
43,0.48737607634549457
44,0.5072520991700799
45,0.5102407708503389
46,0.504064672413204
47,0.5351523964396908
48,0.5428607174074537
49,0.5472212575524721
50,0.5390835734339745
